gene,mean_rpkm,median_rpkm,n_mutated_samples,mut_freq,n_altered,cna_dir,rna_dir,concordance,concordant,expressed,frac_outlier,transcriptomic,cna_burden,genomic,score
RWDD2B,2.4547556650246305,1.7923,0,0.0,53.0,1.0566037735849056,0.48973680143755627,concordant_up,True,True,0.06896551724137931,0.06896551724137931,0.35443037974683544,0.7409054504067782,0.9655296488198042
NRIP1,31.832985714285726,24.3224,0,0.0,46.0,0.9782608695652174,0.5381955357142857,concordant_up,True,True,0.06896551724137931,0.06896551724137931,0.2848101265822785,0.7390085570964886,0.9644741892151218
GNG2,21.31286305418719,18.4081,0,0.0,30.0,0.9333333333333333,0.4696997916666668,concordant_up,True,True,0.07389162561576355,0.07389162561576355,0.17721518987341772,0.7294503224718627,0.9638984839762041
MCM3AP,13.64721477832512,12.0349,1,0.006666666666666667,48.0,0.7083333333333334,0.8270902272727273,concordant_up,True,True,0.06403940886699508,0.06403940886699508,0.21518987341772153,0.9859313746153522,0.9635626559201689
POFUT2,4.588759605911331,4.0342,0,0.0,47.0,0.8085106382978723,0.5124492620279854,concordant_up,True,True,0.06896551724137931,0.06896551724137931,0.24050632911392406,0.736995742528348,0.9631548647092689
NFKBIA,221.11803448275865,159.7133,0,0.0,31.0,0.8387096774193549,0.9216814325628654,concordant_up,True,True,0.08866995073891626,0.08866995073891626,0.16455696202531644,0.719860472958732,0.9627710612166571
LSS,3.7098591133004915,3.1759,0,0.0,48.0,0.7083333333333334,0.5638029924242424,concordant_up,True,True,0.06896551724137931,0.06896551724137931,0.21518987341772153,0.7364793660161025,0.9627470734983689
SPOCK2,13.880496551724134,8.4704,1,0.006666666666666667,23.0,0.9130434782608695,0.013610177133655416,buffered,False,True,0.06403940886699508,0.06403940886699508,0.13291139240506328,0.9360746954432407,0.9613078104010746
ZBTB25,4.39743103448276,4.0585,0,0.0,31.0,0.8387096774193549,0.2006177038354076,concordant_up,True,True,0.08374384236453201,0.08374384236453201,0.16455696202531644,0.719860472958732,0.9611159086547687
SCYL3,1.8561704433497541,1.4196,1,0.006666666666666667,31.0,0.6451612903225806,0.23003713487426974,concordant_up,True,True,0.06403940886699508,0.06403940886699508,0.12658227848101267,0.925947392825528,0.9606841297255806
LY6G5B,2.373021534130893,2.2649714285714286,0,0.0,29.0,1.0689655172413792,-0.21973835872761294,discordant,False,True,0.06896551724137931,0.06896551724137931,0.1962025316455696,0.734392783374784,0.9604442525426982
USP42,12.935335960591129,10.9334,1,0.006666666666666667,29.0,-0.6206896551724138,0.08471879176690725,buffered,False,True,0.06403940886699508,0.06403940886699508,0.11392405063291139,0.9082219786704886,0.9597006332757628
METTL4,1.7702975369458138,1.4946,1,0.006666666666666667,20.0,0.9,0.33485644927536223,concordant_up,True,True,0.06403940886699508,0.06403940886699508,0.11392405063291139,0.9082219786704886,0.9597006332757628
NRAS,41.687587192118244,40.2111,16,0.10666666666666667,13.0,-0.46153846153846156,0.7362384615384615,discordant,False,True,0.06896551724137931,0.06896551724137931,0.0379746835443038,0.7336234877544998,0.9596766455574746
FLT3,49.89593103448274,25.2721,5,0.03333333333333333,17.0,-0.35294117647058826,-0.05192140175219016,buffered,False,True,0.06896551724137931,0.06896551724137931,0.0379746835443038,0.7334970282004806,0.959628670120898
UBR4,13.132318226600985,10.8978,3,0.02,19.0,-0.3157894736842105,-0.04360908746686865,buffered,False,True,0.06896551724137931,0.06896551724137931,0.0379746835443038,0.7333494920541247,0.9595806946843216
CD72,20.783316256157633,14.7341,0,0.0,42.0,-0.7142857142857143,0.005556280788177351,buffered,False,True,0.06896551724137931,0.06896551724137931,0.189873417721519,0.7327171942840282,0.9585492227979275
CDC37L1,1.8130596059113295,1.6787,0,0.0,32.0,-0.9375,0.359025744047619,discordant,False,True,0.06896551724137931,0.06896551724137931,0.189873417721519,0.7327171942840282,0.9585492227979275
